Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2016-17,Tas,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"34,554,320.56","39,274,643.39"
2016-17,Tas,Primary health care,Other health practitioners,Australian Government,Premium rebates,"5,078,688.02","5,772,466.59"
2016-17,Tas,Primary health care,Other health practitioners,Non-government,Health insurance funds,"13,756,529.17","15,635,751.73"
2016-17,Tas,Primary health care,Other health practitioners,Non-government,Individuals,"45,083,253.56","51,241,890.39"
2016-17,Tas,Primary health care,Other health practitioners,Non-government,Other source of funds,"2,942,816.10","3,344,822.04"
2016-17,Tas,Primary health care,Other health practitioners,State and local government,State and local government,"3,018,528.25","3,430,876.91"
2016-17,Tas,Primary health care,Public health,Australian Government,DoHAC and other,"27,139,950.97","30,656,590.22"
2016-17,Tas,Primary health care,Public health,Non-government,Other source of funds,"839,509.25","948,245.66"
2016-17,Tas,Primary health care,Public health,State and local government,State and local government,"14,162,514.09","15,996,896.54"
2016-17,Tas,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"3,273,268.98","3,577,846.59"
2016-17,Tas,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"213,344,785.89","233,227,007.48"
2016-17,Tas,Primary health care,Unreferred medical services,Non-government,Individuals,"24,196,654.14","26,448,152.33"
2016-17,Tas,Primary health care,Unreferred medical services,Non-government,Other source of funds,"19,087,870.43","20,863,996.40"
2016-17,Tas,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"14,805,619.43","16,183,282.03"
2016-17,Tas,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"263,907,256.28","288,463,821.27"
2016-17,Tas,Referred medical services,Referred medical services,Australian Government,Premium rebates,"14,347,685.97","15,682,737.87"
2016-17,Tas,Referred medical services,Referred medical services,Non-government,Health insurance funds,"38,863,257.56","42,479,482.91"
2016-17,Tas,Referred medical services,Referred medical services,Non-government,Individuals,"44,371,427.92","48,500,188.41"
2016-17,Tas,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2016-17,Tas,Research,Research,Australian Government,DoHAC and other,"59,060,818.96","66,820,973.76"
2016-17,Tas,Research,Research,Non-government,Other source of funds,"2,557,043.42","2,893,020.01"
2016-17,Tas,Research,Research,State and local government,State and local government,"3,918,757.83","4,433,653.62"
2016-17,Vic,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"22,628,816.82","23,697,185.19"
2016-17,Vic,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,580,348,039.91","1,772,832,726.89"
2016-17,Vic,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,111,000,000.00","1,270,667,960.21"
2016-17,Vic,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"171,384,202.70","196,835,394.29"
2016-17,Vic,Hospitals,Private hospitals,Australian Government,DoHAC and other,"86,481,060.99","99,306,111.93"
2016-17,Vic,Hospitals,Private hospitals,Australian Government,Premium rebates,"748,494,976.39","859,649,264.53"
2016-17,Vic,Hospitals,Private hospitals,Non-government,Health insurance funds,"2,027,529,179.66","2,328,624,804.55"
2016-17,Vic,Hospitals,Private hospitals,Non-government,Individuals,"522,366,419.39","599,939,775.69"
2016-17,Vic,Hospitals,Private hospitals,Non-government,Other source of funds,"352,586,221.86","404,946,587.30"
2016-17,Vic,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"107,123,333.00","123,031,546.41"
2016-17,Vic,Hospitals,Public hospital services,Australian Government,DoHAC and other,"5,201,506,121.28","5,973,643,943.32"
2016-17,Vic,Hospitals,Public hospital services,Australian Government,Premium rebates,"74,682,104.92","85,772,675.30"
2016-17,Vic,Hospitals,Public hospital services,Non-government,Health insurance funds,"202,299,483.24","232,341,708.98"
2016-17,Vic,Hospitals,Public hospital services,Non-government,Individuals,"214,548,476.21","246,409,722.97"
2016-17,Vic,Hospitals,Public hospital services,Non-government,Other source of funds,"219,793,891.35","252,434,101.77"
2016-17,Vic,Hospitals,Public hospital services,State and local government,State and local government,"6,922,757,241.13","7,950,812,441.70"
2016-17,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"10,676,400.00","12,402,074.16"
2016-17,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-10,676,400.00","-12,402,074.16"
2016-17,Vic,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2016-17,Vic,Other services,Administration,Australian Government,DoHAC and other,"408,231,422.88","473,398,064.62"
2016-17,Vic,Other services,Administration,Australian Government,Premium rebates,"132,200,203.02","153,568,311.53"
2016-17,Vic,Other services,Administration,Non-government,Health insurance funds,"358,087,746.72","415,967,066.52"
2016-17,Vic,Other services,Administration,State and local government,State and local government,"-800,000.00","-929,307.57"
2016-17,Vic,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"97,000.00","106,559.52"
2016-17,Vic,Other services,Aids and appliances,Australian Government,DoHAC and other,"150,873,965.84","165,742,851.89"
2016-17,Vic,Other services,Aids and appliances,Australian Government,Premium rebates,"52,248,823.36","57,398,033.80"
2016-17,Vic,Other services,Aids and appliances,Non-government,Health insurance funds,"141,525,224.61","155,472,776.30"
2016-17,Vic,Other services,Aids and appliances,Non-government,Individuals,"909,752,671.20","999,410,344.90"
2016-17,Vic,Other services,Aids and appliances,Non-government,Other source of funds,"35,679,891.47","39,196,205.49"
2016-17,Vic,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"26,471,830.38","30,402,995.66"
2016-17,Vic,Other services,Patient transport services,Australian Government,DoHAC and other,"591,741.39","679,617.18"
2016-17,Vic,Other services,Patient transport services,Australian Government,Premium rebates,"10,697,570.59","12,286,199.61"
2016-17,Vic,Other services,Patient transport services,Non-government,Health insurance funds,"28,976,271.28","33,279,355.35"
2016-17,Vic,Other services,Patient transport services,Non-government,Individuals,"276,209,000.00","317,227,063.90"
2016-17,Vic,Other services,Patient transport services,Non-government,Other source of funds,"18,095,554.10","20,782,811.20"
2016-17,Vic,Other services,Patient transport services,State and local government,State and local government,"618,011,403.88","709,788,396.15"
2016-17,Vic,Primary health care,All other medications,Australian Government,DoHAC and other,"157,124,833.76","164,214,921.15"
2016-17,Vic,Primary health care,All other medications,Australian Government,Premium rebates,"2,518,801.30","2,631,285.63"
2016-17,Vic,Primary health care,All other medications,Non-government,Health insurance funds,"6,822,620.99","7,127,304.81"
2016-17,Vic,Primary health care,All other medications,Non-government,Individuals,"2,516,701,014.65","2,630,310,258.23"
2016-17,Vic,Primary health care,All other medications,Non-government,Other source of funds,"24,203,951.65","25,284,848.91"
2016-17,Vic,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"64,735,215.02","67,840,161.68"
2016-17,Vic,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,438,777,089.51","2,560,419,753.47"
2016-17,Vic,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"356,398,939.40","373,493,185.50"
2016-17,Vic,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"24,000.00","27,879.23"
2016-17,Vic,Primary health care,Community health and other,Australian Government,DoHAC and other,"194,907,944.04","224,534,171.42"
2016-17,Vic,Primary health care,Community health and other,Australian Government,Premium rebates,"38,426.33","44,637.35"
2016-17,Vic,Primary health care,Community health and other,Non-government,Health insurance funds,"104,084.56","120,908.21"
2016-17,Vic,Primary health care,Community health and other,Non-government,Individuals,"9,213,553.32","10,702,781.04"
2016-17,Vic,Primary health care,Community health and other,Non-government,Other source of funds,"37,685,691.36","43,776,997.75"
2016-17,Vic,Primary health care,Community health and other,State and local government,State and local government,"711,138,199.47","826,082,638.77"
2016-17,Vic,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"12,890,462.31","14,054,454.02"
2016-17,Vic,Primary health care,Dental services,Australian Government,DoHAC and other,"98,597,407.42","107,500,606.68"
2016-17,Vic,Primary health care,Dental services,Australian Government,Premium rebates,"138,498,162.11","151,004,363.06"
2016-17,Vic,Primary health care,Dental services,Non-government,Health insurance funds,"375,146,888.29","409,022,156.37"
2016-17,Vic,Primary health care,Dental services,Non-government,Individuals,"2,169,598,825.36","2,365,510,731.16"
2016-17,Vic,Primary health care,Dental services,Non-government,Other source of funds,"6,905,585.79","7,529,151.06"
2016-17,Vic,Primary health care,Dental services,State and local government,State and local government,"181,961,532.67","198,392,418.52"
2016-17,Vic,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"43,014,274.86","48,890,277.06"
2016-17,Vic,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"433,931,353.58","493,208,921.27"
2016-17,Vic,Primary health care,Other health practitioners,Australian Government,Premium rebates,"70,640,541.09","80,290,453.28"
2016-17,Vic,Primary health care,Other health practitioners,Non-government,Health insurance funds,"191,342,460.98","217,480,963.27"
2016-17,Vic,Primary health care,Other health practitioners,Non-government,Individuals,"865,847,094.24","984,126,885.08"
2016-17,Vic,Primary health care,Other health practitioners,Non-government,Other source of funds,"91,597,123.52","104,109,827.77"
2016-17,Vic,Primary health care,Public health,Australian Government,DoHAC and other,"323,467,795.59","371,644,789.43"
2016-17,Vic,Primary health care,Public health,Non-government,Individuals,"882,736.74","1,013,826.42"
2016-17,Vic,Primary health care,Public health,Non-government,Other source of funds,"415,554.47","477,265.85"
2016-17,Vic,Primary health care,Public health,State and local government,State and local government,"351,482,114.17","403,678,515.51"
2016-17,Vic,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"20,001,177.73","22,054,675.40"
2016-17,Vic,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,233,809,740.84","2,463,199,546.89"
2016-17,Vic,Primary health care,Unreferred medical services,Non-government,Individuals,"203,738,524.02","224,656,121.43"
2016-17,Vic,Primary health care,Unreferred medical services,Non-government,Other source of funds,"227,615,316.23","250,984,316.14"
2016-17,Vic,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"104,454,272.39","115,178,471.11"
2016-17,Vic,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"3,284,568,111.35","3,621,790,901.02"
2016-17,Vic,Referred medical services,Referred medical services,Australian Government,Premium rebates,"163,672,269.90","180,476,311.59"
2016-17,Vic,Referred medical services,Referred medical services,Non-government,Health insurance funds,"443,335,433.62","488,852,167.21"
2016-17,Vic,Referred medical services,Referred medical services,Non-government,Individuals,"702,000,713.49","774,074,310.67"
2016-17,Vic,Research,Research,Australian Government,Department of Veterans' Affairs,"1,400.00","1,626.29"
2016-17,Vic,Research,Research,Australian Government,DoHAC and other,"1,258,106,603.38","1,461,459,985.63"
2016-17,Vic,Research,Research,Non-government,Other source of funds,"94,027,557.33","109,225,650.84"
2016-17,Vic,Research,Research,State and local government,State and local government,"90,805,159.45","105,482,402.42"
2016-17,WA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"6,833,015.23","7,245,266.96"
2016-17,WA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"227,706,703.45","257,875,343.90"
2016-17,WA,Capital expenditure,Capital expenditure,State and local government,State and local government,"316,000,000.00","349,368,943.13"
2016-17,WA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"73,789,147.08","80,153,450.90"
2016-17,WA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"37,431,534.70","40,658,136.15"
2016-17,WA,Hospitals,Private hospitals,Australian Government,Premium rebates,"362,734,633.17","394,020,445.57"
2016-17,WA,Hospitals,Private hospitals,Non-government,Health insurance funds,"982,578,476.05","1,067,325,734.95"
2016-17,WA,Hospitals,Private hospitals,Non-government,Individuals,"-81,280,068.95","-88,290,463.75"
2016-17,WA,Hospitals,Private hospitals,Non-government,Other source of funds,"117,625,095.41","127,770,243.77"
2016-17,WA,Hospitals,Private hospitals,State and local government,State and local government,"837,671,000.00","909,920,008.95"
2016-17,WA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"99,685,238.48","108,283,076.64"
2016-17,WA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"2,253,992,201.20","2,448,366,607.73"
2016-17,WA,Hospitals,Public hospital services,Australian Government,Premium rebates,"23,190,244.00","25,190,399.36"
2016-17,WA,Hospitals,Public hospital services,Non-government,Health insurance funds,"62,817,918.45","68,235,955.31"
2016-17,WA,Hospitals,Public hospital services,Non-government,Individuals,"498,198,246.02","541,167,776.46"
2016-17,WA,Hospitals,Public hospital services,Non-government,Other source of funds,"37,284,816.42","40,500,626.73"
2016-17,WA,Hospitals,Public hospital services,State and local government,State and local government,"2,759,912,430.70","2,997,954,499.61"
2016-17,WA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"3,485,000.00","3,775,143.77"
2016-17,WA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-3,485,000.00","-3,775,143.77"
2016-17,WA,Other services,Administration,Australian Government,Department of Veterans' Affairs,0.00,0.00
2016-17,WA,Other services,Administration,Australian Government,DoHAC and other,"152,765,506.41","165,420,655.74"
2016-17,WA,Other services,Administration,Australian Government,Premium rebates,"66,935,338.10","72,508,041.50"
2016-17,WA,Other services,Administration,Non-government,Health insurance funds,"181,306,260.11","196,400,917.74"
2016-17,WA,Other services,Administration,Non-government,Individuals,"21,659,930.90","23,463,229.03"
2016-17,WA,Other services,Administration,Non-government,Other source of funds,"1,621,014.43","1,755,972.03"
2016-17,WA,Other services,Administration,State and local government,State and local government,"531,043,240.63","575,255,260.12"
2016-17,WA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"70,000.00","76,898.62"
2016-17,WA,Other services,Aids and appliances,Australian Government,DoHAC and other,"59,693,703.97","65,576,620.07"
2016-17,WA,Other services,Aids and appliances,Australian Government,Premium rebates,"31,957,047.78","35,106,469.22"
2016-17,WA,Other services,Aids and appliances,Non-government,Health insurance funds,"86,561,343.86","95,092,111.58"
2016-17,WA,Other services,Aids and appliances,Non-government,Individuals,"570,074,643.58","626,256,469.70"
2016-17,WA,Other services,Aids and appliances,Non-government,Other source of funds,"36,989,501.46","40,634,879.76"
2016-17,WA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"5,928,999.36","6,440,374.74"
2016-17,WA,Other services,Patient transport services,Australian Government,DoHAC and other,"22,596,765.92","24,545,733.88"
2016-17,WA,Other services,Patient transport services,Australian Government,Premium rebates,"10,191,581.99","11,070,604.54"
2016-17,WA,Other services,Patient transport services,Non-government,Health insurance funds,"27,605,711.23","29,986,700.04"
2016-17,WA,Other services,Patient transport services,Non-government,Individuals,"5,909,363.00","6,419,044.75"
2016-17,WA,Other services,Patient transport services,Non-government,Other source of funds,"10,445,779.01","11,346,726.02"
2016-17,WA,Other services,Patient transport services,State and local government,State and local government,"245,178,384.30","266,324,986.35"
2016-17,WA,Primary health care,All other medications,Australian Government,DoHAC and other,"65,341,705.83","67,175,900.77"
2016-17,WA,Primary health care,All other medications,Australian Government,Premium rebates,"2,547,962.09","2,600,227.84"
2016-17,WA,Primary health care,All other medications,Non-government,Health insurance funds,"6,901,608.19","7,043,179.27"
2016-17,WA,Primary health care,All other medications,Non-government,Individuals,"835,400,332.30","852,583,653.08"
2016-17,WA,Primary health care,All other medications,Non-government,Other source of funds,"9,692,883.96","9,891,711.83"
2016-17,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"23,963,737.28","25,113,129.09"
2016-17,WA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"872,629,526.90","915,542,858.29"
2016-17,WA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"132,514,390.94","138,870,284.18"
2016-17,WA,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"83,000.00","89,910.17"
2016-17,WA,Primary health care,Community health and other,Australian Government,DoHAC and other,"103,900,241.52","111,876,485.51"
2016-17,WA,Primary health care,Community health and other,Australian Government,Premium rebates,"7,894.75","8,552.02"
2016-17,WA,Primary health care,Community health and other,Non-government,Health insurance funds,"21,384.32","23,164.68"
2016-17,WA,Primary health care,Community health and other,Non-government,Individuals,"22,905,000.00","24,811,956.40"
2016-17,WA,Primary health care,Community health and other,Non-government,Other source of funds,"2,828,064.89","3,063,515.51"
2016-17,WA,Primary health care,Community health and other,State and local government,State and local government,"890,315,063.92","964,438,268.87"
2016-17,WA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"9,095,648.28","9,916,973.29"
2016-17,WA,Primary health care,Dental services,Australian Government,DoHAC and other,"11,286,645.76","12,305,814.39"
2016-17,WA,Primary health care,Dental services,Australian Government,Premium rebates,"110,996,711.50","121,019,567.81"
2016-17,WA,Primary health care,Dental services,Non-government,Health insurance funds,"300,654,321.29","327,803,009.05"
2016-17,WA,Primary health care,Dental services,Non-government,Individuals,"943,571,830.65","1,028,775,119.59"
2016-17,WA,Primary health care,Dental services,Non-government,Other source of funds,"2,993,980.75","3,264,333.25"
2016-17,WA,Primary health care,Dental services,State and local government,State and local government,"87,827,496.46","95,758,203.29"
2016-17,WA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"27,007,363.69","30,696,727.96"
2016-17,WA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"139,363,982.91","158,401,920.28"
2016-17,WA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"39,046,367.37","44,380,330.14"
2016-17,WA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"105,764,025.99","120,212,012.20"
2016-17,WA,Primary health care,Other health practitioners,Non-government,Individuals,"51,681,190.55","58,741,144.26"
2016-17,WA,Primary health care,Other health practitioners,Non-government,Other source of funds,"27,150,756.02","30,859,708.52"
2016-17,WA,Primary health care,Public health,Australian Government,DoHAC and other,"136,550,991.17","148,313,113.75"
2016-17,WA,Primary health care,Public health,State and local government,State and local government,"171,180,053.00","185,944,309.11"
2016-17,WA,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"9,558,337.31","9,862,148.25"
2016-17,WA,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"870,449,196.93","898,172,060.38"
2016-17,WA,Primary health care,Unreferred medical services,Non-government,Individuals,"92,519,728.92","95,460,460.69"
2016-17,WA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"125,765,379.37","129,762,821.34"
2016-17,WA,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"57,024,463.93","58,836,981.71"
2016-17,WA,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"1,166,284,869.62","1,203,355,135.76"
2016-17,WA,Referred medical services,Referred medical services,Australian Government,Premium rebates,"69,379,906.24","71,585,140.70"
2016-17,WA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"187,927,807.40","193,901,076.90"
2016-17,WA,Referred medical services,Referred medical services,Non-government,Individuals,"302,453,201.46","312,066,650.94"
2016-17,WA,Research,Research,Australian Government,Department of Veterans' Affairs,0.00,0.00
2016-17,WA,Research,Research,Australian Government,DoHAC and other,"371,027,063.92","401,916,932.26"
2016-17,WA,Research,Research,Non-government,Individuals,"1,201,460.08","1,301,487.68"
2016-17,WA,Research,Research,Non-government,Other source of funds,"22,146,261.32","23,990,048.91"
2016-17,WA,Research,Research,State and local government,State and local government,"54,074,384.93","58,576,349.32"
2017-18,ACT,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"5,876,591.52","5,831,401.32"
2017-18,ACT,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"43,245,892.47","46,669,409.31"
2017-18,ACT,Capital expenditure,Capital expenditure,State and local government,State and local government,"122,000,000.00","128,570,430.55"
2017-18,ACT,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"40,023,659.55","43,052,391.72"
2017-18,ACT,Hospitals,Private hospitals,Australian Government,DoHAC and other,"5,903,739.96","6,349,800.99"
2017-18,ACT,Hospitals,Private hospitals,Australian Government,Premium rebates,"43,896,485.08","47,218,287.69"
2017-18,ACT,Hospitals,Private hospitals,Non-government,Health insurance funds,"124,094,306.28","133,484,962.26"
2017-18,ACT,Hospitals,Private hospitals,Non-government,Individuals,"-29,006,807.63","-31,201,855.57"
2017-18,ACT,Hospitals,Private hospitals,Non-government,Other source of funds,"15,312,271.32","16,471,005.16"
2017-18,ACT,Hospitals,Private hospitals,State and local government,State and local government,"14,415,936.45","15,506,841.45"
2017-18,ACT,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"41,533,875.94","44,676,891.54"
2017-18,ACT,Hospitals,Public hospital services,Australian Government,DoHAC and other,"395,285,793.65","425,181,364.81"
2017-18,ACT,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,492,672.16","4,832,648.59"
2017-18,ACT,Hospitals,Public hospital services,Non-government,Health insurance funds,"12,700,676.01","13,661,781.18"
2017-18,ACT,Hospitals,Public hospital services,Non-government,Individuals,"5,356,801.97","5,762,170.16"
2017-18,ACT,Hospitals,Public hospital services,Non-government,Other source of funds,"12,734,531.58","13,698,198.72"
2017-18,ACT,Hospitals,Public hospital services,State and local government,State and local government,"700,198,295.01","753,184,781.66"
2017-18,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"364,800.00","401,824.89"
2017-18,ACT,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-364,800.00","-401,824.89"
2017-18,ACT,Other services,Administration,Australian Government,Department of Veterans' Affairs,"59,112,096.31","64,739,983.94"
2017-18,ACT,Other services,Administration,Australian Government,DoHAC and other,"24,239,656.73","26,639,563.40"
2017-18,ACT,Other services,Administration,Australian Government,Premium rebates,"395,734.44","435,898.99"
2017-18,ACT,Other services,Administration,Non-government,Health insurance funds,"1,118,451.47","1,231,967.22"
2017-18,ACT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"559,691.82","599,386.24"
2017-18,ACT,Other services,Aids and appliances,Australian Government,DoHAC and other,"9,789,849.00","10,484,163.85"
2017-18,ACT,Other services,Aids and appliances,Australian Government,Premium rebates,"4,213,995.30","4,512,859.93"
2017-18,ACT,Other services,Aids and appliances,Non-government,Health insurance funds,"11,909,878.70","12,754,550.11"
2017-18,ACT,Other services,Aids and appliances,Non-government,Individuals,"23,790,243.22","25,477,492.85"
2017-18,ACT,Other services,Aids and appliances,Non-government,Other source of funds,"1,631,897.04","1,747,634.30"
2017-18,ACT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"51,770,666.54","55,688,336.36"
2017-18,ACT,Other services,Patient transport services,Australian Government,DoHAC and other,0.00,0.00
2017-18,ACT,Other services,Patient transport services,Australian Government,Premium rebates,"1,020,078.64","1,097,271.61"
2017-18,ACT,Other services,Patient transport services,Non-government,Health insurance funds,"2,883,015.29","3,101,183.27"
2017-18,ACT,Other services,Patient transport services,Non-government,Individuals,"17,793.60","19,140.10"
2017-18,ACT,Other services,Patient transport services,Non-government,Other source of funds,"993,814.64","1,069,020.12"
2017-18,ACT,Other services,Patient transport services,State and local government,State and local government,"47,816,680.19","51,435,137.85"
2017-18,ACT,Primary health care,All other medications,Australian Government,DoHAC and other,"7,548,755.75","7,742,458.52"
2017-18,ACT,Primary health care,All other medications,Australian Government,Premium rebates,"360,427.74","371,078.52"
2017-18,ACT,Primary health care,All other medications,Non-government,Health insurance funds,"1,018,665.26","1,048,767.23"
2017-18,ACT,Primary health care,All other medications,Non-government,Individuals,"115,144,131.29","120,642,801.74"
2017-18,ACT,Primary health care,All other medications,Non-government,Other source of funds,"2,304,089.44","2,372,176.21"
2017-18,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"14,712,344.60","16,166,763.65"
2017-18,ACT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"137,604,791.88","151,136,734.95"
2017-18,ACT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"21,019,351.77","23,097,262.97"
2017-18,ACT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"384,900.00","423,964.92"
2017-18,ACT,Primary health care,Community health and other,Australian Government,DoHAC and other,"17,792,299.03","19,582,064.19"
2017-18,ACT,Primary health care,Community health and other,Australian Government,Premium rebates,"3,203.38","3,528.51"
2017-18,ACT,Primary health care,Community health and other,Non-government,Health insurance funds,"9,053.62","9,972.50"
2017-18,ACT,Primary health care,Community health and other,Non-government,Other source of funds,"10,389.17","11,443.60"
2017-18,ACT,Primary health care,Community health and other,State and local government,State and local government,"244,286,878.31","269,080,452.68"
2017-18,ACT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"3,675,092.33","3,927,225.63"
2017-18,ACT,Primary health care,Dental services,Australian Government,DoHAC and other,"2,068,158.90","2,210,046.44"
2017-18,ACT,Primary health care,Dental services,Australian Government,Premium rebates,"12,172,523.72","13,007,631.60"
2017-18,ACT,Primary health care,Dental services,Non-government,Health insurance funds,"34,402,810.28","36,763,048.68"
2017-18,ACT,Primary health care,Dental services,Non-government,Individuals,"120,944,474.77","129,241,988.58"
2017-18,ACT,Primary health care,Dental services,Non-government,Other source of funds,"387,837.53","414,445.50"
2017-18,ACT,Primary health care,Dental services,State and local government,State and local government,"13,365,789.11","14,282,762.12"
2017-18,ACT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"8,733,567.98","9,565,065.12"
2017-18,ACT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"22,805,748.42","24,977,016.18"
2017-18,ACT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"4,645,174.23","5,087,427.52"
2017-18,ACT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"13,128,505.77","14,378,431.92"
2017-18,ACT,Primary health care,Other health practitioners,Non-government,Individuals,"67,981,361.60","74,453,665.71"
2017-18,ACT,Primary health care,Other health practitioners,Non-government,Other source of funds,"9,277,852.58","10,161,169.45"
2017-18,ACT,Primary health care,Other health practitioners,State and local government,State and local government,"2,285,630.83","2,503,238.97"
2017-18,ACT,Primary health care,Public health,Australian Government,DoHAC and other,"21,807,645.89","23,472,704.66"
2017-18,ACT,Primary health care,Public health,State and local government,State and local government,"28,814,685.90","30,995,195.31"
2017-18,ACT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"11,370,779.22","12,436,466.27"
2017-18,ACT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"127,389,126.30","139,317,260.98"
2017-18,ACT,Primary health care,Unreferred medical services,Non-government,Individuals,"32,970,497.00","36,060,543.05"
2017-18,ACT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"20,157,689.94","22,046,899.86"
2017-18,ACT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"32,226,354.74","35,246,658.63"
2017-18,ACT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"179,471,247.00","196,291,570.30"
2017-18,ACT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"6,302,330.91","6,892,995.12"
2017-18,ACT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"17,812,074.09","19,481,449.27"
2017-18,ACT,Referred medical services,Referred medical services,Non-government,Individuals,"80,542,590.00","88,091,166.31"
2017-18,ACT,Research,Research,Australian Government,Department of Veterans' Affairs,"2,302,026.00","2,535,667.09"
2017-18,ACT,Research,Research,Australian Government,DoHAC and other,"94,663,216.07","104,270,934.27"
2017-18,ACT,Research,Research,Non-government,Individuals,"150,615.94","165,902.51"
2017-18,ACT,Research,Research,Non-government,Other source of funds,"6,076,331.86","6,693,041.14"
2017-18,ACT,Research,Research,State and local government,State and local government,"32,940,484.85","36,283,735.90"
2017-18,NSW,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"39,725,759.04","41,771,330.51"
2017-18,NSW,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,457,275,130.25","1,615,313,423.37"
